Sample_Name,P_initial,P_release,P_final,P_uptake,Percent_uptake
A-2021-02-03,0,23.27,2.9,20.37,87.53760206
A-2021-02-05,7.36,46.04,0.99,45.05,97.84969592
A-2021-02-08,5.7,56.51,0.4,56.11,99.29216068
A-2021-02-10,6.36,72.06,2.76,69.3,96.16985845
A-2021-02-12,7.33,80.17,8.68,71.49,89.17300736
A-2021-02-15,7.63,83.6,0.24,83.36,99.71291866
A-2021-02-17,4.9,67.41,0.8,66.61,98.81323246
A-2021-02-19,5.6,77.36,6.59,70.77,91.48138573
A-2021-02-22,7.67,66.49,5.34,61.15,91.9687171
A-2021-02-24,8.4,70.94,2.95,67.99,95.84155624
A-2021-02-26,6.82,61.08,1.84,59.24,96.9875573
A-2021-03-01,8.8,66.69,9.19,57.5,86.21982306
A-2021-03-03,6.52,83.63,1.43,82.2,98.29008729
A-2021-03-05,8.24,89.95,5.4,84.55,93.99666481
A-2021-03-08,7.438038672,90.73795181,1.09,89.64795181,98.79873859
A-2021-03-10,5.791001083,92.77,1.58,91.19,98.29686321
A-2021-03-12,7.25,94.74,1.69,93.05,98.21617057
A-2021-03-15,7.92,61.6,3.81,57.79,93.81493506
A-2021-03-17,7.44,79.68,0.27,79.41,99.66114458
A-2021-03-18,12.9,46.6,25.5,21.1,45.27896996
A-2021-03-19,9.13,40.19,25.19,15,37.32271709
A-2021-03-22,8.6,58.3,5.5,52.8,90.56603774
A-2021-03-24,8.83,70.83,4.8,66.03,93.2232105
A-2021-03-26,5.5,74.2,1.7,72.5,97.70889488
A-2021-03-29,11.8,113.6,1.26,112.34,98.89084507
A-2021-03-31,7.9,115.16,2.59,112.57,97.75095519
A-2021-04-02,5.97,106.4,2.37,104.03,97.77255639
A-2021-04-03,7.4,96.5,2.33,94.17,97.58549223
A-2021-04-04,17.7,93.4,14.2,79.2,84.79657388
