Method,Operation_Day
16S_sequencing,1
16S_sequencing,3
16S_sequencing,6
16S_sequencing,8
16S_sequencing,10
16S_sequencing,13
16S_sequencing,15
16S_sequencing,17
16S_sequencing,20
16S_sequencing,22
16S_sequencing,24
16S_sequencing,27
16S_sequencing,29
16S_sequencing,31
16S_sequencing,34
16S_sequencing,36
16S_sequencing,38
16S_sequencing,41
16S_sequencing,43
16S_sequencing,44
16S_sequencing,45
16S_sequencing,48
16S_sequencing,50
16S_sequencing,52
16S_sequencing,55
16S_sequencing,57
16S_sequencing,59
16S_sequencing,60
16S_sequencing,61
ppk1_qPCR,43
ppk1_qPCR,60
ppk1_qPCR,61
metagenomes,43
metagenomes,60
